Accession,Gene
IPI00985125,BSDC1
IPI00985126,PTP4A2
IPI00985127,DCTN4
IPI00985128,PPP6R3
IPI00985130,EXTL3
IPI00985131,CDCA5
IPI00985132,RELA
IPI00985133,DAZ2
IPI00985135,TLR8
IPI00985136,SULF1
IPI00985137,USP35
IPI00985138,WNT5A
IPI00985139,NUP98
IPI00985141,MAPK10
IPI00985142,FCRL5
IPI00985143,CDON
IPI00985144,LOC100287534
IPI00985147,LONRF1
IPI00985149,SP100
IPI00985151,EXPH5
IPI00985152,CCDC69
IPI00985154,GPR161
IPI00985156,PUF60
IPI00985157,CEP170
IPI00985158,PAX5
IPI00985160,ACBD3
IPI00985161,RAB37
IPI00985162,NUP160
IPI00985164,SGMS2
IPI00985165,SIDT2
IPI00985167,FZD3
IPI00985168,RUNX1T1
IPI00985170,SH3RF2
IPI00985171,PRG4
IPI00985172,ILK
IPI00985173,PXK
IPI00985174,SLC25A22
IPI00985176,GDA
IPI00985182,VPS28
IPI00985183,TM2D2
IPI00985184,EIF4G2
IPI00985185,ZFAND1
IPI00985187,PTK2
IPI00985189,KIAA1377
IPI00985190,EHBP1L1
IPI00985193,USP47
IPI00985194,ALG8
IPI00985199,C1orf15-NBL1
IPI00985202,GTF3C4
IPI00985204,PKP3
IPI00985205,CPSF1
IPI00985206,SH2D3C
IPI00985207,FAM125A
IPI00985208,CCNE2
IPI00985209,MS4A4E
IPI00985210,CNKSR1
IPI00985212,NPEPL1
IPI00985213,FBXO3
IPI00985215,RASSF7
IPI00985218,SLC39A13
IPI00985219,RNF26
IPI00985220,ILK
IPI00985221,ENDOV
IPI00985222,LOC100287399;POTEB
IPI00985223,MCM4
IPI00985225,CDHR5
IPI00985227,NPEPPS
IPI00985228,NPIPL1;LOC728734;LOC728741
IPI00985233,ZNF704
IPI00985234,MRPS27
IPI00985236,HOXB4
IPI00985238,PTK2B
IPI00985239,MYB
IPI00985241,MBP
IPI00985244,AIP
IPI00985247,HSBP1L1
IPI00985248,LOC100288524
IPI00985249,TXNRD1
IPI00985251,C14orf159
IPI00985252,C2orf81
IPI00985253,MBD1
IPI00985254,ZDHHC23
IPI00985255,ACR
IPI00985256,PUM1
IPI00985258,CHURC1-FNTB
IPI00985260,PACS1
IPI00985263,FAM54A
IPI00985266,RAD51
IPI00985268,PPP6R3
IPI00985271,CCDC163P
IPI00985272,MRVI1
IPI00985273,ERICH1
IPI00985274,PACSIN3
IPI00985275,C1orf105
IPI00985276,CDK5R2
IPI00985278,PRCP
IPI00985279,GPR172A
IPI00985280,MOK
IPI00985281,NADSYN1
IPI00985282,STIM1
IPI00985284,LARP1
IPI00985286,SH2D5
IPI00985288,HERC2P1
IPI00985291,SSRP1
IPI00985293,SEC24C
IPI00985295,ZNF10
IPI00985296,WDR47
IPI00985297,NBAS
IPI00985298,NCR3
IPI00985299,ST3GAL1
IPI00985302,SBF2
IPI00985303,LETM2
IPI00985304,LCK
IPI00985305,CD55
IPI00985306,COPS5
IPI00985308,PEX16
IPI00985309,FHL2
IPI00985310,DTNA
IPI00985312,UPK2
IPI00985313,PDGFD
IPI00985314,TRBV3-1
IPI00985315,LOC100507338
IPI00985317,SERINC2
IPI00985318,MATN2
IPI00985320,KCNC3
IPI00985323,LOC400684
IPI00985325,THG1L
IPI00985328,MYCL1
IPI00985330,LOC253962
IPI00985332,MDP1
IPI00985333,ATP9B
IPI00985334,TTN
IPI00985336,NOB1
IPI00985337,ZNF195
IPI00985338,GZMB
IPI00985339,CTNNA1
IPI00985340,ARMC1
IPI00985342,EPHA10
IPI00985343,TULP2
IPI00985345,CSGALNACT1
IPI00985346,RCOR3
IPI00985348,RBM20
IPI00985350,CA1
IPI00985351,PCYOX1L
IPI00985352,TNFAIP8L1
IPI00985353,EEF1D
IPI00985354,CTNNA1
IPI00985355,SNORD84;DDX39B
IPI00985356,PPP2CB
IPI00985357,TMEM165
IPI00985361,PCCB
IPI00985363,RPL34
IPI00985364,GLYATL1
IPI00985365,ALG8
IPI00985366,ZBED5
IPI00985367,FAM157C
IPI00985369,PTK2
IPI00985370,RPS2
IPI00985371,FUT2
IPI00985372,JAM3
IPI00985373,LOC440233
IPI00985374,MAPK3
IPI00985375,PGAP2
IPI00985376,AMPD2
IPI00985377,MRPL49
IPI00985378,PCMTD1
IPI00985379,LUZP2
IPI00985380,FNDC9
IPI00985383,SLC25A45
IPI00985384,DDX3X
IPI00985385,LINC00162
IPI00985387,KIAA1826
IPI00985388,C11orf54
IPI00985389,ATRNL1
IPI00985390,STAG3L2
IPI00985391,TTC12
IPI00985392,ODZ4
IPI00985393,GEMIN2
IPI00985396,ZNF341
IPI00985397,SLC25A15
IPI00985398,C19orf51
IPI00985399,DDR1
IPI00985402,FTH1
IPI00985403,MITF
IPI00985404,HSF4
IPI00985405,CPSF3L
IPI00985406,PFKFB3
IPI00985407,BCL9L
IPI00985408,KCNJ5
IPI00985410,NPM1
IPI00985412,AZIN1
IPI00985414,TRIM3
IPI00985415,PARP10
IPI00985416,C14orf149
IPI00985417,C17orf69
IPI00985418,ASAP1
IPI00985419,DNHD1
IPI00985420,OSBPL9
IPI00985421,ARFGAP2
IPI00985422,RPS25
IPI00985423,C17orf77
IPI00985424,RTN4RL2
IPI00985426,B4GALT6
IPI00985428,KDELC2
IPI00985429,CPSF3L
IPI00985430,LMO7
IPI00985431,ZFYVE26
IPI00985432,TATDN3
IPI00985436,FAM160B1
IPI00985437,PPIE
IPI00985438,ASPG
IPI00985439,SERPINH1
IPI00985441,KCTD14
IPI00985442,LOC100505586;LOC100505611
IPI00985443,EI24
IPI00985447,EEF1D
IPI00985449,NHSL1
IPI00985452,CORO7-PAM16
IPI00985453,MRPL49
IPI00985454,HBS1L
IPI00985455,ZNF517
IPI00985456,DPH2
IPI00985457,SLC25A22
IPI00985458,DNAH9
IPI00985459,CFHR4
IPI00985461,SERGEF
IPI00985463,ZNF681
IPI00985464,MPP2
IPI00985465,RAB11FIP1
IPI00985466,PROSC
IPI00985467,RNF217
IPI00985468,S100PBP
IPI00985469,ASCC1
IPI00985470,OSBPL5
IPI00985471,ZNF674
IPI00985473,CARKD
IPI00985474,RUNX1T1
IPI00985475,SLC43A3
IPI00985476,DCAF6
IPI00985477,DDHD2
IPI00985478,PTPN12
IPI00985480,PDE2A
IPI00985483,ERGIC1
IPI00985486,EPB41L2
IPI00985487,ADM
IPI00985488,PTPN22
IPI00985489,SDHD
IPI00985490,FAM86B1
IPI00985491,KAT5
IPI00985493,TRIM29
IPI00985494,ZNF7
IPI00985495,CCNC
IPI00985496,PAK1
IPI00985497,XKR9
IPI00985500,DCUN1D5
IPI00985502,OXR1
IPI00985504,LOC100508797
IPI00985505,DPP3
IPI00985506,CASR
IPI01008713,TP53
IPI01008714,BTN3A2
IPI01008715,NR5A2
IPI01008717,ZNF10
IPI01008718,FNDC7
IPI01008721,RIN1
IPI01008723,FBF1
IPI01008728,MED24
IPI01008729,HIF3A
IPI01008731,GPATCH4
IPI01008732,CDH16
IPI01008735,FIBP
IPI01008736,IL23R
IPI01008737,USP48
IPI01008738,EPB41L3
IPI01008739,RPAIN
IPI01008740,TM9SF1
IPI01008741,C16orf57
IPI01008742,HMGN3
IPI01008745,ZMYND8
IPI01008748,LUC7L2
IPI01008749,PLXNA4
IPI01008750,C21orf7
IPI01008753,PAX6
IPI01008756,PPHLN1
IPI01008760,SFTPC
IPI01008761,DUX2
IPI01008762,UBFD1
IPI01008763,TP53I11
IPI01008768,ILK
IPI01008771,TNFRSF19
IPI01008774,ZNF268
IPI01008775,BRCA1
IPI01008777,RFX5
IPI01008778,ATXN7
IPI01008779,EPS8L2
IPI01008783,ARHGAP30
IPI01008784,MLH1
IPI01008788,PDDC1
IPI01008790,DRD3
IPI01008791,MLL
IPI01008792,LRTOMT
IPI01008793,RBM10
IPI01008794,ABCA7
IPI01008795,C11orf68
IPI01008796,ENPP2
IPI01008797,USP3
IPI01008799,NAALAD2
IPI01008802,C6orf132
IPI01008803,HSPA8
IPI01008804,PCF11
IPI01008808,DOK3
IPI01008809,SCN5A
IPI01008810,CTDP1
IPI01008811,AK5
IPI01008814,PRUNE2
IPI01008816,KCNH2
IPI01008819,FOXP2
IPI01008820,WNT16
IPI01008821,CTNND1
IPI01008826,MCCD1
IPI01008830,DPP9
IPI01008831,PHF3
IPI01008832,KIAA1549
IPI01008834,NUP214
IPI01008835,SH3D21
IPI01008837,C20orf12
IPI01008838,NPIPL3
IPI01008842,WDR27
IPI01008845,ARSD
IPI01008846,MYO7A
IPI01008847,FAM20C
IPI01008848,FRMD4B
IPI01008849,KDM2B
IPI01008850,ZNF595
IPI01008853,SLC39A7
IPI01008854,KIAA0748
IPI01008855,SCARB1
IPI01008856,TAX1BP3
IPI01008858,HGF
IPI01008859,SH3D21
IPI01008861,SMG7
IPI01008862,C1orf93
IPI01008863,DNM1
IPI01008864,DOCK9
IPI01008865,VEZT
IPI01008866,CD36
IPI01008869,SCN5A
IPI01008870,ATP2B2
IPI01008874,PAOX
IPI01008875,CAMK2G
IPI01008876,MEPE
IPI01008877,SSR4
IPI01008878,MX2
IPI01008880,OS9
IPI01008883,CHEK1
IPI01008884,SLC22A18AS
IPI01008888,CD36
IPI01008889,NBPF12;NBPF9;NBPF8;NBPF11;NBPF10;NBPF16;NBPF1;LOC100288142;NBPF14;NBPF20
IPI01008891,C2orf78
IPI01008893,DOCK7
IPI01008894,FAM65A
IPI01008895,CHN2
IPI01008898,TUBGCP2
IPI01008902,C1orf226
IPI01008903,NBPF12;NBPF9;NBPF8;NBPF11;NBPF10;NBPF16;NBPF1;LOC100288142;NBPF14;NBPF20
IPI01008904,POTEF
IPI01008905,SIRPA
IPI01008906,NLRP7
IPI01008910,PTPRK
IPI01008911,RASA4
IPI01008913,TSHZ1
IPI01008914,EIF4A1
IPI01008916,MED16
IPI01008919,NMT1
IPI01008922,HK1
IPI01008923,NPIPL3
IPI01008924,HAUS2
IPI01008926,P2RX5
IPI01008929,CDH16
IPI01008931,SLC28A1
IPI01008932,DHCR24
IPI01008933,CTNND1
IPI01008934,RRM1
IPI01008937,TRAPPC4
IPI01008940,CCDC82
IPI01008942,ZMYND8
IPI01008943,LCK
IPI01008945,ZMYND8
IPI01008948,EXOC6
IPI01008950,OGT
IPI01008952,LMO7
IPI01008953,KRTAP4-2;KRTAP4-12
IPI01008955,TMPRSS13
IPI01008959,ZMYND8
IPI01008962,COL13A1
IPI01008963,NBPF12;NBPF9;NBPF8;NBPF11;NBPF10;NBPF16;NBPF1;LOC100288142;NBPF14;NBPF20
IPI01008965,RADIL
IPI01008969,WDR52
IPI01008970,ZNF257
IPI01008972,ZEB2
IPI01008974,FGFR1
IPI01008975,FKSG49
IPI01008978,RASA4P
IPI01008979,TMPRSS13
IPI01008982,ATP2B2
IPI01008983,FAM203A
IPI01008986,FRMD1
IPI01008987,TMPRSS13
IPI01008990,ATF2
IPI01008992,RASA4
IPI01008993,DGKH
IPI01008997,HAUS6
IPI01008999,SORT1
IPI01009000,DIS3L
IPI01009002,USP2
IPI01009003,STAU2
IPI01009005,NPL
IPI01009006,SRSF5
IPI01009007,CSTF2
IPI01009008,ZNF257
IPI01009009,RBM14;RBM14-RBM4
IPI01009010,HIF3A
IPI01009011,ADAM33
IPI01009012,ABCA2
IPI01009013,MKI67IP
IPI01009014,KIFAP3
IPI01009016,TP53
IPI01009026,PAEP
IPI01009028,ANKAR
IPI01009031,FAM125A
IPI01009034,OSBPL8
IPI01009036,SCP2
IPI01009039,TP53
IPI01009042,CYP1B1
IPI01009045,XPNPEP3
IPI01009049,SP140L
IPI01009052,HAUS7
IPI01009053,RXRB
IPI01009054,GFAP
IPI01009056,PARD3B
IPI01009057,SSR4
IPI01009059,KIAA1549
IPI01009062,PBX1
IPI01009064,NBPF12;NBPF9;NBPF8;NBPF11;NBPF10;NBPF16;NBPF1;LOC100288142;NBPF14;NBPF20
IPI01009065,MACF1
IPI01009110,ZNF544
IPI01009111,TDG
IPI01009112,NBR1
IPI01009113,POLR2A
IPI01009114,NFS1
IPI01009115,NAGK
IPI01009116,CCDC86
IPI01009117,ZNF250
IPI01009119,KDM5B
IPI01009120,SACS
IPI01009122,CCAR1
IPI01009123,PHLPP2
IPI01009124,GYPC
IPI01009125,CD163L1
IPI01009126,PRR3
IPI01009127,PINX1
IPI01009128,ORAOV1
IPI01009129,LLGL2
IPI01009130,NCKAP5
IPI01009131,SNORD118;TMEM107
IPI01009133,MED16
IPI01009134,IST1
IPI01009135,GPRC5D
IPI01009136,ST8SIA1
IPI01009137,AEBP2
IPI01009138,CLEC4C
IPI01009139,WDR74
IPI01009140,CMAS
IPI01009141,NUMA1
IPI01009142,SLC2A14
IPI01009143,STARD10
IPI01009146,TBC1D15
IPI01009147,PITPNM2
IPI01009148,PMFBP1
IPI01009149,CCDC77
IPI01009150,ZNF662
IPI01009151,ITGB2
IPI01009152,NAT8L
IPI01009153,ABCB1
IPI01009154,CLTCL1
IPI01009155,MET
IPI01009156,FBN1
IPI01009157,PWP1
IPI01009158,KCTD10
IPI01009159,ABP1
IPI01009160,CALU
IPI01009161,C22orf24
IPI01009162,ALDH16A1
IPI01009164,FADS1
IPI01009165,C1R
IPI01009166,ZNF268
IPI01009167,KL
IPI01009168,C11orf10
IPI01009169,TMC1
IPI01009170,C2
IPI01009171,C9orf41
IPI01009173,TAAR6
IPI01009174,CENPJ
IPI01009175,KIR3DL2
IPI01009177,HABP2
IPI01009179,TSPY8
IPI01009181,POU2F3
IPI01009182,DDX58
IPI01009183,ZNF789
IPI01009185,MMP2
IPI01009186,PCBP2
IPI01009187,NFKBIL1
IPI01009188,COL17A1
IPI01009189,NCOR2
IPI01009190,GPR113
IPI01009191,LPO
IPI01009192,GLT25D2
IPI01009193,EOMES
IPI01009194,PRPF19
IPI01009195,TM7SF3
IPI01009196,STARD10
IPI01009197,LOC388820
IPI01009199,C9orf86
IPI01009200,BTK
IPI01009201,CCDC150
IPI01009202,RAB6A
IPI01009204,SCARB1
IPI01009205,RAD23B
IPI01009206,ZNF345
IPI01009207,TTF1
IPI01009208,MYOC
IPI01009209,THRB
IPI01009210,GPR37L1
IPI01009211,RBP5
IPI01009212,STRA6
IPI01009213,ARNTL2
IPI01009215,RRN3
IPI01009218,CADM1
IPI01009219,WDR67
IPI01009220,DGKH
IPI01009222,MUC4
IPI01009223,SLC14A1
IPI01009224,EDEM2
IPI01009225,DPP8
IPI01009226,KIR2DS4
IPI01009227,CDC42BPB
IPI01009229,ZFP64
IPI01009231,MRGPRF
IPI01009232,FBXL18
IPI01009233,TMEM5
IPI01009234,RAD9A
IPI01009236,FOXM1
IPI01009237,BAD
IPI01009238,GPR19
IPI01009239,SAG
IPI01009241,HRSP12
IPI01009242,ATF3
IPI01009243,RAB6A
IPI01009244,SETD2
IPI01009245,ZNF30
IPI01009246,WT1
IPI01009247,METTL20
IPI01009248,GZF1
IPI01009249,FARSB
IPI01009250,MAP2K5
IPI01009251,THBS3
IPI01009252,CRTAP
IPI01009253,ANKLE2
IPI01009254,FBXO10
IPI01009255,TRUB2
IPI01009256,SLC25A46
IPI01009257,SCNN1A
IPI01009258,ACTN2
IPI01009259,REXO2
IPI01009260,WDR20
IPI01009261,ANO3
IPI01009263,LRRC3
IPI01009264,GABRB1
IPI01009265,HMBS
IPI01009266,CDC27
IPI01009267,LILRB5
IPI01009268,C12orf32
IPI01009269,CCDC53
IPI01009270,CRB1
IPI01009271,FAM65C
IPI01009272,ARAP1
IPI01009273,FBXW9
IPI01009274,CYTH3
IPI01009275,FAM59B
IPI01009277,RSRC2
IPI01009278,EXOC4
IPI01009279,RTN3
IPI01009280,POMT1
IPI01009281,LRTOMT
IPI01009282,TRIM4
IPI01009283,CARS2
IPI01009286,LRRC37B
IPI01009288,KNTC1
IPI01009289,RDX
IPI01009290,FTSJ1
IPI01009291,POU2F2
IPI01009293,RAP1B
IPI01009294,TMEM237
IPI01009295,RNF10
IPI01009296,FOXK1
IPI01009297,CYP4F8
IPI01009298,OVCH1
IPI01009299,ACE
IPI01009300,NLRC5
IPI01009303,SH3GL2
IPI01009304,C11orf51
IPI01009305,FERMT3
IPI01009306,DPYSL2
IPI01009307,RGPD8
IPI01009308,MYO1C
IPI01009309,KLHL21
IPI01009310,QKI
IPI01009311,MITF
IPI01009312,STK25
IPI01009313,C17orf70
IPI01009314,CREBBP
IPI01009315,CCND1
IPI01009316,DNAJC11
IPI01009317,USP7
IPI01009318,TEAD4
IPI01009319,IBA57
IPI01009320,PYGM
IPI01009321,FCRL6
IPI01009323,TMEM66
IPI01009324,COL15A1
IPI01009325,RDBP
IPI01009326,CCT8
IPI01009327,KCNK2
IPI01009328,CLCN4
IPI01009329,PAAF1
IPI01009330,NLRP2
IPI01009331,PHF21B
IPI01009332,DSP
IPI01009333,USP28
IPI01009335,C12orf43
IPI01009336,SLC25A12
IPI01009338,TTC12
IPI01009339,PSPC1
IPI01009340,PCDHB12
IPI01009341,USP3
IPI01009342,PARN
IPI01009343,POT1
IPI01009344,CYP2D7P1
IPI01009345,C12orf11
IPI01009346,ZNF140
IPI01009347,COPS7A
IPI01009348,GLS2
IPI01009349,OPHN1
IPI01009350,XPOT
IPI01009351,EEF1D
IPI01009352,CACNA1C
IPI01009353,PGD
IPI01009354,LSM14B
IPI01009355,HNRNPUL1
IPI01009356,PSMA2
IPI01009357,FKBP7
IPI01009358,M6PR
IPI01009359,ZNF512
IPI01009360,SOS2
IPI01009361,NAA15
IPI01009363,WDR26
IPI01009365,CD209
IPI01009366,RAD1
IPI01009367,OLFM1
IPI01009368,PUS1
IPI01009369,EIF4G1
IPI01009370,CPSF7
IPI01009372,CNOT7
IPI01009373,IL17RC
IPI01009374,DENND4A
IPI01009375,ALDH3A1
IPI01009376,GALK2
IPI01009377,LPCAT3
IPI01009378,CRHR1
IPI01009379,METTL5
IPI01009380,SEC16A
IPI01009381,KEL
IPI01009383,RERE
IPI01009384,TNPO2
IPI01009385,ARHGAP6
IPI01009386,ZNF419
IPI01009388,TMEM91
IPI01009389,DNMT3B
IPI01009391,SLC28A1
IPI01009393,UQCC
IPI01009394,PUS1
IPI01009395,FOLR2
IPI01009396,TPCN2
IPI01009397,TAOK3
IPI01009398,ARMC6
IPI01009399,DMTF1
IPI01009400,CLASP1
IPI01009402,ISCU
IPI01009403,HOXA9
IPI01009404,ODF2
IPI01009405,KCNMB2
IPI01009406,TCF12
IPI01009407,LZTR1
IPI01009408,ULK1
IPI01009409,PHF1
IPI01009410,AIPL1
IPI01009411,SOD2
IPI01009412,CCDC60
IPI01009414,MUC16
IPI01009415,GSN
IPI01009416,GBP6
IPI01009417,DAXX
IPI01009418,ZBTB17
IPI01009419,PTPRM
IPI01009420,DDX11
IPI01009421,COL6A1
IPI01009422,COG2
IPI01009423,MTF2
IPI01009424,PLEKHB1
IPI01009425,SLC22A14
IPI01009426,ETNK1
IPI01009427,FAM82B
IPI01009428,CPNE6
IPI01009429,GRIP1
IPI01009430,C11orf30
IPI01009431,ANXA8L2;ANXA8L1;ANXA8
IPI01009432,NEB
IPI01009433,PNPLA6
IPI01009435,THOC2
IPI01009436,C12orf4
IPI01009437,ANGEL2
IPI01009438,MYCN
IPI01009439,DIAPH1
IPI01009440,PTPRA
IPI01009442,RIMBP2
IPI01009443,ATG16L2
IPI01009444,GALNT8
IPI01009445,C11orf51
IPI01009446,INPPL1
IPI01009447,SPSB2
IPI01009448,PUM2
IPI01009449,ATP1B1
IPI01009450,KIAA1432
IPI01009451,MAZ
IPI01009452,VAV3
IPI01009453,SLC13A2
IPI01009455,ACSF3
IPI01009456,ACTN1
IPI01009457,CALCOCO1
IPI01009459,OLR1
IPI01009461,WNT5B
IPI01009462,PCDHB6
IPI01009463,NME6
IPI01009464,ABHD4
IPI01009465,TSSC4
IPI01009466,CDH13
IPI01009467,FBN1
IPI01009468,SCG5
IPI01009469,MFN1
IPI01009471,FCGR3B
IPI01009472,PRKCH
IPI01009474,FRG2B
IPI01009475,ATF7IP
IPI01009477,EHHADH
IPI01009478,ZEB1
IPI01009479,SUMF1
IPI01009481,TNPO3
IPI01009482,PPARD
IPI01009484,ANKRD49
IPI01009485,GRIP1
IPI01009486,LBP
IPI01009487,SRP68
IPI01009488,GTF2H3
IPI01009489,CLEC4E
IPI01009490,GSG1
IPI01009491,SLCO1A2
IPI01009493,MCEE
IPI01009494,ABCB9
IPI01009495,COX10
IPI01009496,FA2H
IPI01009497,KDM6A
IPI01009498,SUGP1
IPI01009499,ESRRA
IPI01009500,RNF165
IPI01009501,UBC
IPI01009502,SSPN
IPI01009504,FGFR1
IPI01009505,EHBP1
IPI01009506,ST13
IPI01009507,NR5A2
IPI01009510,INPP5D;LOC646743
IPI01009511,ANKRD26P1
IPI01009512,NUMA1
IPI01009513,SND1
IPI01009514,ATF7IP
IPI01009515,NPIPL3
IPI01009516,PLAGL1
IPI01009517,RAB1B
IPI01009518,ZNF786
IPI01009519,NDUFS7
IPI01009520,LOC729978
IPI01009521,ZNF507
IPI01009522,ARL13B
IPI01009523,ZNF133
IPI01009524,METTL3
IPI01009526,SLC25A10
IPI01009527,OS9
IPI01009528,PDIA3
IPI01009529,TEX10
IPI01009530,WWOX
IPI01009531,CCAR1
IPI01009532,AP1G1
IPI01009533,NOP2
IPI01009534,PTPN6
IPI01009535,ZNF720
IPI01009536,BRF2
IPI01009537,PDE2A
IPI01009538,DARS
IPI01009539,CCHCR1
IPI01009540,CES4A
IPI01009541,KLC1
IPI01009542,UHRF2
IPI01009543,PEX5
IPI01009544,TOMM5
IPI01009545,RSPH10B2;RSPH10B
IPI01009546,C18orf45
IPI01009547,TIAM2
IPI01009548,WAC
IPI01009549,ANAPC5
IPI01009551,GBGT1
IPI01009553,BNIP3
IPI01009554,FAM45A
IPI01009555,ADA
IPI01009558,C1RL
IPI01009560,METTL16
IPI01009561,SYNE2
IPI01009562,HSPA6
IPI01009563,CAP1
IPI01009564,AKT1
IPI01009565,SLC30A6
IPI01009566,UBR4
IPI01009567,YAP1
IPI01009568,SYNE1
IPI01009570,ZNF521
IPI01009571,NRCAM
IPI01009572,HYDIN2;HYDIN
IPI01009573,LOXHD1
IPI01009574,METTL9
IPI01009575,GPR34
IPI01009576,SETDB1
IPI01009577,TNFRSF1B
IPI01009578,STRA6
IPI01009579,CLEC4C
IPI01009580,STK24
IPI01009581,ACO2
IPI01009582,SLCO1B7
IPI01009583,RAP1B
IPI01009585,CD163
IPI01009586,MINPP1
IPI01009587,JOSD2
IPI01009588,POSTN
IPI01009589,ZNF10
IPI01009590,TEAD4
IPI01009591,CCNY
IPI01009594,CLU
IPI01009595,SRSF2
IPI01009596,CADM1
IPI01009598,ZNF226
IPI01009599,TOX
IPI01009600,KCTD10
IPI01009601,STARD10
IPI01009602,FADS1
IPI01009603,C20orf132
IPI01009604,C11orf82
IPI01009605,SOX5
IPI01009606,ABCA8
IPI01009607,RELN
IPI01009608,THAP4
IPI01009609,TM7SF3
IPI01009610,ISYNA1
IPI01009611,JMJD5
IPI01009612,SPECC1L
IPI01009613,TMEM101
IPI01009614,EIF3C;EIF3CL
IPI01009615,MCM7
IPI01009616,BCAR3
IPI01009617,UBXN2B
IPI01009618,AMPH
IPI01009619,WDR81
IPI01009620,FOLH1
IPI01009621,WIF1
IPI01009622,RGPD3
IPI01009623,KIAA0146
IPI01009624,STAU2
IPI01009625,TNIP1
IPI01009626,ORAOV1
IPI01009627,PRKAR2B
IPI01009628,C2orf54
IPI01009629,PSMD7
IPI01009630,SPARCL1
IPI01009631,CAMK2B
IPI01009632,CDH19
IPI01009633,UQCC
IPI01009635,TRIM39-RPP21;TRIM39
IPI01009636,TMC1
IPI01009637,ACACB
IPI01009638,LIPA
IPI01009640,MLF2
IPI01009641,VPS13A
IPI01009642,DIP2A
IPI01009643,CD4
IPI01009644,PIWIL4
IPI01009645,TNFAIP3
IPI01009646,RGMA
IPI01009647,MRPS35
IPI01009648,MRE11A
IPI01009649,TAF1D;SNORA25;SNORA32
IPI01009650,PCSK7
IPI01009651,PLEKHG5
IPI01009652,PTPRC
IPI01009653,MMP24
IPI01009654,ECHDC2
IPI01009655,SNRNP70
IPI01009656,MMAB
IPI01009657,TAPBP
IPI01009658,LPIN1
IPI01009659,BPIFC
IPI01009660,ZC3H12D
IPI01009661,THBS3
IPI01009662,ORAI1
IPI01009663,CCDC150
IPI01009664,THOC5
IPI01009665,WDR74
IPI01009666,LNX1
IPI01009667,TFPI2
IPI01009668,CD163L1
IPI01009669,DHX35
IPI01009671,SLC5A7
IPI01009672,DMD
IPI01009673,STARD10
IPI01009674,PBX1
IPI01009675,AKAP7
IPI01009676,C19orf46
IPI01009677,ABCB1
IPI01009678,INPP4A
IPI01009679,LOXHD1
IPI01009682,TMEM235
IPI01009683,NPIPL3
IPI01009684,NUP107
IPI01009685,SPG11
IPI01009687,FAM98A
IPI01009688,DCUN1D4
IPI01009689,C12orf65
IPI01009690,IPO11
IPI01009691,CACNB4
IPI01009692,PALM
IPI01009693,HDC
IPI01009694,SPOP
IPI01009695,BAZ1A
IPI01009696,PPT2
IPI01009698,MAP3K4
IPI01009699,LRTOMT
IPI01009700,CCDC60
IPI01009701,ERBB2
IPI01009702,RHOC
IPI01009703,GCH1
IPI01009704,FGD4
IPI01009706,C14orf177
IPI01009707,ERC1
IPI01009709,LMBRD2
IPI01009710,CYBASC3
IPI01009712,ANKRD28
IPI01009713,C11orf51
IPI01009714,FOXM1
IPI01009715,SKAP2
IPI01009716,CLEC12A
IPI01009718,SENP2
IPI01009719,C21orf59
IPI01009720,CCDC91
IPI01009721,RANBP17
IPI01009722,VWCE
IPI01009723,IGFBP4
IPI01009724,UBXN11
IPI01009726,RNF10
IPI01009728,TTC39A
IPI01009729,FAM161B
IPI01009730,NOMO3;NOMO1
IPI01009731,KIF4A
IPI01009732,FOLR2
IPI01009733,CTSB
IPI01009734,DDX58
IPI01009735,DDX19A
IPI01009737,ANKLE2
IPI01009738,GOLGA4
IPI01009739,HLA-DQB1
IPI01009740,CHRM1
IPI01009741,LOC100129940
IPI01009743,PGA3;PGA4;PGA5
IPI01009744,ENDOV
IPI01009745,PDZD4
IPI01009746,SCNN1A
IPI01009748,TPH2
IPI01009749,LPCAT3
IPI01009750,REXO2
IPI01009751,RASA4
IPI01009752,C12orf32
IPI01009753,ZNF143
IPI01009754,MYO1C
IPI01009755,KRI1
IPI01009756,VAV1
IPI01009757,QKI
IPI01009758,MUC5B
IPI01009759,EXOC4
IPI01009760,NAP1L4
IPI01009761,LOC100130015
IPI01009762,CCAR1
IPI01009763,ANK3
IPI01009764,TAOK3
IPI01009765,APBB1
IPI01009766,PARVA
IPI01009768,PWP1
IPI01009769,TG
IPI01009770,C1orf101
IPI01009771,NAV3
IPI01009772,FAM156B;FAM156A
IPI01009773,CCDC91
IPI01009775,SEPT7
IPI01009776,OR10Z1
IPI01009777,PLEKHA5
IPI01009778,PFKFB4
IPI01009779,AXIN2
IPI01009780,FER1L5
IPI01009782,TNFRSF1A
IPI01009783,LPAR1
IPI01009785,EPRS
IPI01009786,DGKB
IPI01009787,SKA3
IPI01009790,PAAF1
IPI01009791,NLRC5
IPI01009792,SAR1A
IPI01009793,ZNF716
IPI01009794,CABIN1
IPI01009795,SNX4
IPI01009796,FCAR
IPI01009797,PHLDB1
IPI01009798,MRPS28
IPI01009799,EIF2AK1
IPI01009801,CTNS
IPI01009802,NBPF4
IPI01009804,SLC2A14
IPI01009805,AKAP7
IPI01009807,AAGAB
IPI01009808,ZC3H6
IPI01009809,IVL
IPI01009810,DMKN
IPI01009811,MRPL1
IPI01009812,RERG
IPI01009813,NAP1L5
IPI01009814,NOP2
IPI01009815,C1RL
IPI01009816,RGS9
IPI01009817,PUS1
