Accession,Gene
IPI00002236,MFGE8
IPI00002237,PGBD5
IPI00002239,WNT6
IPI00002240,FAM118B
IPI00002243,GGT5
IPI00002245,ACSS3
IPI00002249,KLHL9
IPI00002251,PDP2
IPI00002252,CD68
IPI00002253,TMEM14A
IPI00002255,LRBA
IPI00002265,HMBOX1
IPI00002270,C6orf211
IPI00002276,LGALS13
IPI00002277,CLEC2D
IPI00002279,PRSS50
IPI00002280,PCSK1N
IPI00002283,PTCHD2
IPI00002284,POLL
IPI00002288,XRCC6BP1
IPI00002293,SNCAIP
IPI00002294,KCNE3
IPI00002305,OCEL1
IPI00002307,NLGN3
IPI00002311,SCRN3
IPI00002313,CARD10
IPI00002316,IL17C
IPI00002320,FLRT3
IPI00002324,MAT2B
IPI00002325,POLM
IPI00002330,USP3
IPI00002333,CCDC121
IPI00002334,D4S234E
IPI00002335,HTT
IPI00002336,ARMC7
IPI00002340,C22orf46
IPI00002342,ARSJ
IPI00002344,SRD5A3
IPI00002345,EFCAB1
IPI00002347,TBC1D14
IPI00002349,NUFIP2
IPI00002352,MYLPF
IPI00002354,KCTD16
IPI00002355,CABIN1
IPI00002360,SMAD5-AS1
IPI00002366,KCNE2
IPI00002367,TPO
IPI00002370,CYP4F3
IPI00002372,ABCD3
IPI00002374,MCPH1
IPI00002375,TMOD1
IPI00002386,DMD
IPI00002396,KIAA1310
IPI00002398,KLHL13
IPI00002405,OAS3
IPI00002406,BCAM
IPI00002408,RPAP3
IPI00002411,IKBKG
IPI00002412,PPT1
IPI00002415,PPP1R3B
IPI00002424,PLEKHF2
IPI00002432,HOOK2
IPI00002434,BLNK
IPI00002435,CD27
IPI00002436,CNOT4
IPI00002437,ADRA2C
IPI00002438,PDPN
IPI00002441,SDC1
IPI00002445,FLJ13197
IPI00002446,PDE4A
IPI00002449,PDE4D
IPI00002458,OGFOD2
IPI00002459,ANXA6
IPI00002460,ANXA7
IPI00002466,PRRC2B
IPI00002468,UBIAD1
IPI00002469,HCFC2
IPI00002478,ECE1
IPI00002483,SLC30A1
IPI00002487,MTHFR
IPI00002491,SORBS1
IPI00002496,GMPPB
IPI00002501,ATF1
IPI00002502,ATF3
IPI00002503,ATF4
IPI00002506,ALG5
IPI00002508,ONECUT1
IPI00002511,ATF6
IPI00002514,GPR132
IPI00002515,TBC1D22B
IPI00002519,SHMT1
IPI00002520,SHMT2
IPI00002521,ATP5J
IPI00002523,CCBL1
