Accession,Protein
IPI00002415,Q86XI6
IPI00002424,Q9H8W4
IPI00002432,Q96ED9
IPI00002434,Q8WV28
IPI00002435,P26842
IPI00002436,O95628
IPI00002437,P18825
IPI00002438,Q86YL7
IPI00002441,P18827
IPI00002445,Q9H8V8
IPI00002449,Q08499
IPI00002458,Q6N063
IPI00002460,P20073
IPI00002468,Q9Y5Z9
IPI00002469,Q9Y5Z7
IPI00002478,P42892
IPI00002483,Q9Y6M5
IPI00002487,P42898
IPI00002491,Q9BX66
IPI00002496,Q9Y5P6
IPI00002501,P18846
IPI00002502,P18847
IPI00002503,P18848
IPI00002506,Q9Y673
IPI00002508,Q9UBC0
IPI00002511,P18850
IPI00002514,Q9UNW8
IPI00002515,Q9NU19
IPI00002519,P34896
IPI00002520,P34897
IPI00002521,P18859
IPI00002524,Q9UNX9
IPI00002525,Q9UMX5
IPI00002528,Q9UBD3
IPI00002534,Q9UJV8
IPI00002535,P26885
IPI00002536,Q9Y6P5
IPI00002538,O15530
IPI00002540,Q16526
IPI00002543,Q9UKZ9
IPI00002545,Q9UL41
IPI00002547,Q9Y6Q1
IPI00002548,Q9Y6Q2
IPI00002549,Q9UJX6
IPI00002551,Q9UJX5
IPI00002552,Q9Y6Q5
IPI00002557,Q9UBF2
IPI00002560,Q9Y6R0
IPI00002564,P18887
IPI00002569,Q13541
IPI00002570,Q13542
IPI00002580,O00443
IPI00002590,Q9Y6T7
IPI00002591,Q9UBF8
IPI00002596,Q96EF0
IPI00002602,Q9H0A6
IPI00002606,Q9Y6U3
IPI00002612,Q9P2Y4
IPI00002614,Q9P2Y5
IPI00002618,Q9UBJ2
IPI00002624,O43660
IPI00002644,Q9UBK7
IPI00002646,Q9UBK9
IPI00002649,Q9H307
IPI00002654,A8MYR8
IPI00002657,Q9UBL6
IPI00002666,P09086
IPI00002678,Q9UBM4
IPI00002685,Q9UBN1
IPI00002689,Q9UBN4
IPI00002692,Q9Y6Z2
IPI00002707,Q9UBP0
IPI00002714,Q9UBP4
IPI00002732,Q9UBQ6
IPI00002745,Q9UBR2
IPI00002747,Q9UBR4
IPI00002756,Q9UBS5
IPI00002771,Q9UBT3
IPI00002773,P52333
IPI00002779,Q9UBU2
IPI00002790,Q9UBV2
IPI00002791,Q9UBV4
IPI00002792,Q9UBV7
IPI00002802,P28300
IPI00002803,Q16512
IPI00002804,Q16513
IPI00002806,Q16514
IPI00002807,Q16515
IPI00002808,Q16517
IPI00002815,Q9UBX0
IPI00002816,Q9UBX1
IPI00002818,Q9UBX7
IPI00002824,Q16527
IPI00002828,Q71F23
IPI00002831,Q9HAJ7
IPI00002832,Q9H761
IPI00002841,Q9UBY0
IPI00002848,Q16533
IPI00002849,P28324
IPI00002850,Q16534
IPI00002851,P28325
IPI00002852,P28328
IPI00002853,Q16537
IPI00002857,Q16539
IPI00002876,P28335
IPI00002878,P28336
IPI00002879,Q9H6W3
IPI00002880,Q9H898
IPI00002881,Q16548
IPI00002884,Q6PK18
IPI00002886,Q8N6T0
IPI00002894,P28340
IPI00002895,P63272
IPI00002897,P34903
IPI00002898,Q16552
IPI00002899,Q16553
IPI00002901,P28347
IPI00002902,Q5SY16
IPI00002903,Q16557
IPI00002906,Q16559
IPI00002910,Q9H665
IPI00002919,O95057
IPI00002922,Q9BZK7
IPI00002925,Q16568
IPI00002926,Q9H9H4
IPI00002929,Q9H5I1
IPI00002935,Q9UJW3
IPI00002938,Q9ULW3
IPI00002939,P28360
IPI00002940,Q16570
IPI00002946,P36383
IPI00002948,Q9H9Z2
IPI00002957,Q9HA65
IPI00002966,P34932
IPI00002968,O96033
IPI00002970,Q16585
IPI00002975,A8MT70
IPI00002976,Q16589
IPI00002978,Q9H7Y0
IPI00002984,Q9UHC9
IPI00002993,Q16594
IPI00003003,Q9H6B1
