Accession,Protein
IPI00005129,O15126
IPI00005132,Q9NVN8
IPI00005135,Q9NWH7
IPI00005137,Q9NQ87
IPI00005139,P28749
IPI00005140,O15130
IPI00005142,P11362
IPI00005147,P62945
IPI00005148,Q9NP94
IPI00005149,Q9NUP7
IPI00005151,Q9NPH6
IPI00005153,Q9NY56
IPI00005154,Q08945
IPI00005158,P36776
IPI00005159,P61160
IPI00005160,O15143
IPI00005161,O15144
IPI00005162,O15145
IPI00005163,Q9NXU5
IPI00005167,Q9UJA2
IPI00005170,O15151
IPI00005171,P01903
IPI00005172,P01906
IPI00005176,Q9NTI7
IPI00005177,Q9UDW3
IPI00005179,O15160
IPI00005180,Q30134
IPI00005181,O15162
IPI00005184,O15164
IPI00005191,Q969J2
IPI00005194,O14562
IPI00005198,Q12905
IPI00005203,O15178
IPI00005210,O15182
IPI00005218,O96007
IPI00005222,O15197
IPI00005223,O15198
IPI00005235,Q9UGB4
IPI00005240,Q12968
IPI00005250,Q9UGC6
IPI00005254,O60260
IPI00005260,Q14997
IPI00005263,Q14442
IPI00005264,Q99959
IPI00005268,Q9H1X1
IPI00005270,Q6UW63
IPI00005277,Q99638
IPI00005288,Q9UGF6
IPI00005290,Q9UGF7
IPI00005292,Q08629
IPI00005300,Q9ULQ0
IPI00005347,Q9UGI0
IPI00005367,Q9UGJ0
IPI00005401,Q7Z7M9
IPI00005404,Q9NZH7
IPI00005422,Q9UGL9
IPI00005423,P54219
IPI00005432,Q9UGM1
IPI00005465,Q9H2G4
IPI00005467,Q9GZN4
IPI00005471,Q9H306
IPI00005474,Q9H008
IPI00005477,Q3B726
IPI00005485,Q9HAS3
IPI00005487,Q9H477
IPI00005490,Q9H4A6
IPI00005491,Q9H4D0
IPI00005492,P61964
IPI00005502,P54259
IPI00005510,Q9GZZ7
IPI00005511,Q7RTV0
IPI00005512,Q9HBI0
IPI00005516,Q9HBW1
IPI00005517,P52803
IPI00005529,Q9HAY2
IPI00005530,Q9HCQ7
IPI00005531,Q9UH17
IPI00005539,P54274
IPI00005541,P54277
IPI00005547,Q9NP59
IPI00005553,Q9NZK7
IPI00005558,Q9NS61
IPI00005559,Q9HC29
IPI00005563,Q9GZM7
IPI00005564,P52823
IPI00005565,P52824
IPI00005566,Q9HAP6
IPI00005567,P54284
IPI00005573,Q8TCD5
IPI00005577,Q9BYX4
IPI00005578,Q9H223
IPI00005579,Q9H172
IPI00005585,O14907
IPI00005587,P54296
IPI00005592,Q01064
IPI00005600,P52849
IPI00005605,Q9UGV2
IPI00005607,O60477
IPI00005609,O00534
IPI00005613,Q01081
IPI00005614,Q01082
IPI00005615,Q01085
IPI00005616,Q9P1P5
IPI00005618,Q9UH64
IPI00005619,Q9P1P4
IPI00005630,Q01094
IPI00005631,Q8IWJ2
IPI00005634,Q6PGP7
IPI00005635,Q14679
IPI00005638,Q9BXT6
IPI00005648,Q14151
IPI00005651,O94829
IPI00005652,Q2TBF2
IPI00005656,O15211
IPI00005657,O15212
IPI00005658,P11441
IPI00005659,O15217
IPI00005660,O15218
IPI00005661,Q9UH92
IPI00005663,Q6PFW1
IPI00005665,O75140
IPI00005666,O75164
IPI00005667,O75113
IPI00005668,P52895
IPI00005670,O75794
IPI00005673,O95264
IPI00005674,O15225
IPI00005675,O15226
IPI00005677,O15228
IPI00005682,P28845
IPI00005683,Q92611
IPI00005685,Q8ND90
IPI00005686,Q9Y5X9
IPI00005688,O15231
IPI00005690,O15232
IPI00005692,O15235
IPI00005694,P11465
IPI00005695,O15239
IPI00005698,Q9UQ26
IPI00005700,Q86XR8
IPI00005704,O60284
IPI00005705,P36873
IPI00005707,Q9UBG0
IPI00005708,Q9Y662
IPI00005709,Q9Y663
IPI00005710,Q9Y278
IPI00005715,O95155
IPI00005716,P11473
IPI00005717,P11474
IPI00005719,P62820
IPI00005721,P59665
IPI00005724,O43813
IPI00005727,O15255
IPI00005729,P11487
IPI00005731,P36894
IPI00005732,P36896
IPI00005733,P36897
IPI00005737,O15260
IPI00005739,O15263
IPI00005740,O43402
IPI00005741,O15264
IPI00005743,O15265
IPI00005744,O15266
IPI00005745,O15269
IPI00005750,Q9NTG1
IPI00005751,O15270
IPI00005755,O15273
IPI00005760,O00463
IPI00005769,O15287
IPI00005774,Q14114
IPI00005775,Q9Y6K0
IPI00005776,Q9Y239
IPI00005777,Q16644
IPI00005778,Q9Y2Y8
IPI00005780,O15294
IPI00005781,O15296
IPI00005782,O15297
IPI00005789,Q9Y6X2
IPI00005791,O14777
IPI00005792,Q86U42
IPI00005793,Q13367
IPI00005794,Q9Y646
IPI00005809,O95810
IPI00005811,Q9UHC1
IPI00005822,Q9UJX2
IPI00005824,O14910
IPI00005826,O95714
IPI00005836,O75928
IPI00005837,O95841
IPI00005839,O14603
IPI00005846,Q9UHE8
IPI00005858,O95835
IPI00005859,O95678
IPI00005861,O43395
IPI00005881,O94817
IPI00005896,Q86XK2
IPI00005904,Q9UHI6
IPI00005908,Q9UHI8
IPI00005914,Q9UHJ6
IPI00005923,P54315
IPI00005924,P54317
IPI00005930,Q9UHM6
IPI00005944,Q01101
IPI00005948,Q9BV20
IPI00005954,Q01113
IPI00005957,Q9UHP9
IPI00005966,Q9UI09
IPI00005969,P52907
IPI00005978,Q01130
IPI00005979,Q9UI10
IPI00005981,Q9UI15
IPI00005991,Q9UI25
IPI00005996,P52926
IPI00006003,Q01151
IPI00006005,Q9UHT4
IPI00006006,O94886
IPI00006009,Q9UF11
IPI00006011,Q6ZU52
IPI00006012,Q9UHT9
IPI00006014,O60308
IPI00006018,Q9UF72
IPI00006023,Q9UBR5
IPI00006024,Q8N1I0
IPI00006025,Q15020
IPI00006026,Q9UI43
IPI00006029,Q01167
IPI00006030,Q9UI46
IPI00006034,P52943
IPI00006036,P52945
IPI00006038,P52948
IPI00006046,O15090
IPI00006047,Q9UI54
IPI00006049,Q9UI56
IPI00006050,Q9Y4C2
IPI00006052,Q9UHV9
IPI00006053,P52951
IPI00006054,O15079
IPI00006055,P52952
IPI00006058,P52954
IPI00006064,A7MCY6
IPI00006065,O94900
IPI00006067,P52961
IPI00006070,P28906
IPI00006071,P28907
IPI00006072,P60059
IPI00006073,P28908
IPI00006077,Q92613
IPI00006079,Q9NYF8
IPI00006080,O75143
IPI00006084,Q9H8M5
IPI00006089,O15303
IPI00006091,P11532
IPI00006092,O15305
IPI00006094,Q9UJD0
IPI00006097,P36941
IPI00006098,Q9UHY8
IPI00006099,Q14692
IPI00006103,O95400
IPI00006105,O15315
IPI00006107,Q9UHZ2
IPI00006108,Q92585
IPI00006109,Q9UI95
IPI00006113,P36954
IPI00006114,P36955
IPI00006115,Q15038
IPI00006121,P22304
IPI00006122,O15320
IPI00006128,Q92563
IPI00006130,O75071
IPI00006142,Q7L311
IPI00006148,Q13434
IPI00006152,Q9H228
IPI00006153,Q9C0J9
IPI00006154,P36980
IPI00006157,P82970
IPI00006158,Q12912
IPI00006160,O15350
IPI00006162,Q9BZR8
IPI00006163,O15353
IPI00006164,Q9H0C8
IPI00006165,Q9BXD5
IPI00006166,O15354
IPI00006167,O15355
IPI00006170,O15360
IPI00006171,Q6P4R8
IPI00006173,P11597
IPI00006176,O14964
IPI00006178,Q99463
IPI00006180,O15370
IPI00006181,O15371
IPI00006183,O15374
IPI00006184,O15375
IPI00006187,O15379
IPI00006192,O43283
IPI00006193,O00634
IPI00006195,O60721
IPI00006196,Q14980
IPI00006197,O15381
IPI00006203,O96006
IPI00006204,O43448
IPI00006205,O00400
IPI00006207,Q32MZ4
IPI00006210,O15392
IPI00006211,O95292
IPI00006212,O15393
IPI00006213,Q15154
IPI00006217,O15399
IPI00006231,O95237
IPI00006232,P27815
IPI00006236,Q15198
IPI00006248,O95395
IPI00006249,O75603
IPI00006250,O75911
IPI00006252,Q12904
IPI00006254,O95153
IPI00006265,O14713
IPI00006266,Q8WUZ0
IPI00006278,Q9UIE0
IPI00006280,Q12770
IPI00006283,Q9UL54
IPI00006288,O94813
IPI00006296,Q4U2R8
IPI00006298,Q13427
IPI00006316,Q9Y267
IPI00006348,Q9NPS7
IPI00006356,Q7Z6Z6
IPI00006362,O60869
IPI00006372,Q9Y6I9
IPI00006375,Q9Y234
IPI00006376,Q9Y2M2
IPI00006377,Q9Y244
IPI00006378,Q9Y2S6
IPI00006379,Q9Y2X3
IPI00006395,P38405
IPI00006408,Q9Y314
IPI00006419,Q9H2P9
IPI00006433,Q9Y2G8
IPI00006434,P05000
IPI00006438,Q9Y282
IPI00006440,Q9Y2R9
IPI00006442,P38432
IPI00006443,Q9Y2S2
IPI00006444,Q9UI40
IPI00006451,P46459
IPI00006454,P05013
IPI00006456,P05015
IPI00006464,Q9NRU3
IPI00006465,Q59H18
IPI00006466,O75123
IPI00006470,Q9Y328
IPI00006471,Q14680
IPI00006475,Q9Y2X8
IPI00006476,Q9NQZ7
IPI00006482,P05023
IPI00006492,P0CI25
IPI00006498,Q13117
IPI00006499,Q2KHM9
IPI00006501,Q9NR90
IPI00006504,Q9NR50
IPI00006510,Q9H4B7
IPI00006512,Q9H171
IPI00006515,Q9H252
IPI00006516,P13051
IPI00006524,Q5VV43
IPI00006525,Q9UIU6
IPI00006533,Q9Y4P8
IPI00006535,Q9Y366
IPI00006538,Q9BVG9
IPI00006541,Q9H0K4
IPI00006545,Q9H295
IPI00006547,Q8TB96
IPI00006552,Q9UIV1
IPI00006556,Q7L0X0
IPI00006557,O43164
IPI00006558,Q9Y371
IPI00006560,Q9UIV8
IPI00006561,O15033
IPI00006571,Q9H7E2
IPI00006572,Q9H169
IPI00006574,Q9H0Q0
IPI00006579,P13073
IPI00006580,Q9C073
IPI00006586,O94842
IPI00006589,O15060
IPI00006592,Q9UJ68
IPI00006599,Q9H246
IPI00006601,P05060
IPI00006603,Q9H175
IPI00006606,Q9BYN8
IPI00006608,P05067
IPI00006610,O75132
IPI00006612,O60641
IPI00006615,Q9H078
IPI00006616,Q9H2N8
IPI00006618,Q8N6S4
IPI00006620,O15403
IPI00006631,Q7L1I2
IPI00006636,Q9H7R0
IPI00006644,O43157
IPI00006648,Q5R372
IPI00006651,O94864
IPI00006653,O75185
IPI00006657,O75063
IPI00006658,Q9Y237
IPI00006660,Q15111
IPI00006662,P05090
IPI00006663,P05091
IPI00006665,P05093
IPI00006666,O15427
IPI00006667,O15428
IPI00006671,O15062
IPI00006672,O15431
IPI00006673,O15432
IPI00006674,O15438
IPI00006675,O15439
IPI00006680,O94988
IPI00006682,O95685
IPI00006690,P11678
IPI00006699,Q04118
IPI00006702,Q8IZL8
IPI00006704,O15453
IPI00006705,P11684
IPI00006707,P11686
IPI00006713,Q13217
IPI00006714,Q12923
IPI00006715,O60216
IPI00006717,O15467
IPI00006721,O60313
IPI00006722,Q9Y5Y5
IPI00006725,Q9BUQ8
IPI00006726,O15479
IPI00006732,O95631
IPI00006735,O95672
IPI00006737,O15481
IPI00006742,O15488
IPI00006746,Q8TAM6
IPI00006749,O76036
IPI00006752,O95819
IPI00006754,P61962
IPI00006760,O15499
IPI00006774,Q6UWB1
IPI00006800,Q9H1Y0
IPI00006817,Q99999
IPI00006854,Q9UJF2
IPI00006863,O75391
IPI00006864,O75394
IPI00006865,O75396
IPI00006876,Q9BTL4
IPI00006899,Q9NR21
IPI00006900,Q9NQZ2
IPI00006902,Q9NQT6
IPI00006903,Q9NQS5
IPI00006904,Q9NQS1
IPI00006906,Q9NQ89
IPI00006907,Q9NQ88
IPI00006914,Q9NS75
IPI00006934,Q9UJM8
IPI00006935,Q9GZV4
IPI00006937,Q9Y385
IPI00006952,Q53H82
IPI00006957,Q9Y394
IPI00006961,Q9NY87
IPI00006966,Q9HC47
IPI00006967,Q9HC56
IPI00006969,Q16610
IPI00006970,Q9Y399
IPI00006971,Q9HCU0
IPI00006978,Q9H310
IPI00006979,Q9HD34
IPI00006980,Q9Y224
IPI00006982,Q9HD64
IPI00006987,Q9GZR7
IPI00006988,Q9HD89
IPI00006991,P46527
IPI00006994,Q9UJP4
IPI00006995,P21128
IPI00007001,Q9Y3B7
IPI00007004,Q9Y3B9
IPI00007009,Q96KF7
IPI00007010,O75951
IPI00007015,Q9UK05
IPI00007019,Q9Y3C6
IPI00007021,Q9Y3C7
IPI00007022,Q9UK08
IPI00007024,Q9Y3D0
IPI00007029,Q5T442
IPI00007032,Q9UJQ4
IPI00007034,Q8NBM4
IPI00007035,Q9UK10
IPI00007040,Q9UK12
IPI00007041,P21145
IPI00007043,Q9UK13
IPI00007045,Q9NS18
IPI00007047,P05109
IPI00007048,O00453
IPI00007049,Q9Y3D5
IPI00007051,Q9UNE0
IPI00007052,Q9Y3D6
IPI00007053,O00453
IPI00007055,O00453
IPI00007057,Q9H1K0
IPI00007058,Q9BR76
IPI00007060,Q9HBH1
IPI00007061,Q9Y3E0
IPI00007063,Q9Y3E1
IPI00007067,Q9H4G4
IPI00007068,Q9P1U1
IPI00007074,P54577
IPI00007080,P05111
IPI00007081,P05112
IPI00007082,P05113
IPI00007084,Q9UJS0
IPI00007085,O00453
IPI00007088,Q9UM13
IPI00007089,O95478
IPI00007093,Q92802
IPI00007109,Q9C0A1
IPI00007110,Q9H4B0
IPI00007111,Q9Y272
IPI00007117,P05120
IPI00007118,P05121
IPI00007119,Q9UJT0
IPI00007120,Q9UJT1
IPI00007122,Q5TB80
IPI00007123,Q9UK32
IPI00007125,Q9Y6J8
IPI00007127,Q9H4A9
IPI00007131,Q9H4B8
IPI00007132,O94955
IPI00007133,Q53SF7
IPI00007134,Q9H427
IPI00007138,Q9Y2H0
IPI00007144,Q9UNX3
IPI00007146,Q9Y248
IPI00007148,Q9NU23
IPI00007153,Q01362
IPI00007155,Q9UK41
IPI00007156,Q9UJU2
IPI00007157,Q9UJU3
IPI00007163,Q9UK45
IPI00007164,Q9UJU5
IPI00007165,Q9UPQ8
IPI00007166,Q9Y5U9
IPI00007168,Q7L8A9
IPI00007174,P61599
IPI00007175,Q9Y221
IPI00007176,Q96MS0
IPI00007182,Q9BVC4
IPI00007183,Q8NHH9
IPI00007188,P05141
IPI00007189,P60953
IPI00007193,Q9UPS8
IPI00007199,Q9UK55
IPI00007205,P38570
IPI00007207,P38571
IPI00007208,Q9UJV9
IPI00007211,Q6ZNE5
IPI00007218,P46597
IPI00007219,P11712
IPI00007221,P05154
IPI00007227,Q9Y2K5
IPI00007234,Q9Y2H8
IPI00007240,P05160
IPI00007242,P05162
IPI00007244,P05164
IPI00007247,P05166
IPI00007248,Q9Y2H5
IPI00007249,Q9Y6X5
IPI00007253,Q9Y2L5
IPI00007256,Q9Y6X8
IPI00007257,O94985
IPI00007262,Q9UK80
IPI00007264,Q9UJY1
IPI00007266,P13196
IPI00007269,O94941
IPI00007271,Q9UK85
IPI00007273,Q9Y2K1
IPI00007274,Q70YC5
IPI00007277,Q9Y608
IPI00007279,Q3KNV8
IPI00007280,O15511
IPI00007282,P05181
IPI00007283,O15514
IPI00007284,O15516
IPI00007287,O15519
IPI00007289,P05187
IPI00007293,Q9UPV0
IPI00007300,Q9Y2F9
IPI00007304,O95376
IPI00007306,Q9UEE9
IPI00007307,O15520
IPI00007308,O15522
IPI00007309,O14925
IPI00007311,O15525
IPI00007312,O15527
IPI00007313,O15528
IPI00007314,O15529
IPI00007317,Q9Y2M0
IPI00007320,Q9BQ70
IPI00007321,O75608
IPI00007322,Q13901
IPI00007327,O15533
IPI00007330,O15535
IPI00007331,O15537
IPI00007334,Q9UKV3
IPI00007343,O15541
IPI00007346,O43447
IPI00007347,Q9UP83
IPI00007348,O15544
IPI00007358,O43257
IPI00007360,Q99592
IPI00007364,O15551
IPI00007365,O00635
IPI00007366,O15552
IPI00007367,O15553
IPI00007374,Q13536
IPI00007392,Q9Y6N3
IPI00007393,Q92624
IPI00007395,Q9Y4I5
IPI00007401,O15397
IPI00007402,O95373
IPI00007403,Q13278
IPI00007404,O95352
IPI00007405,O15205
IPI00007411,Q9UKA4
IPI00007419,Q9UKA8
IPI00007422,Q16520
IPI00007423,Q92688
IPI00007426,O75915
IPI00007444,Q99645
IPI00007461,Q2PZI1
IPI00007471,Q9H009
IPI00007507,Q9NSA2
IPI00007512,Q9H4Y5
IPI00007515,Q9UKF2
IPI00007524,P80075
IPI00007525,Q13465
IPI00007573,Q9UKI3
IPI00007576,Q16560
IPI00007577,P48023
IPI00007582,P48029
IPI00007596,Q9UKJ8
IPI00007600,P48039
IPI00007605,Q9UKK6
IPI00007607,O95070
IPI00007611,P48047
IPI00007612,P48048
IPI00007614,P63252
IPI00007617,Q9UKL2
IPI00007618,Q9UKL4
IPI00007622,Q9P0J6
IPI00007623,P16157
IPI00007625,P16157
IPI00007626,P48050
IPI00007627,P48051
IPI00007632,P48058
IPI00007636,Q9Y574
IPI00007641,Q9NWZ3
IPI00007647,P48065
IPI00007648,P48066
IPI00007671,P21217
IPI00007672,Q13426
IPI00007673,Q9Y6H1
IPI00007675,Q9Y6G9
IPI00007676,Q53GQ0
IPI00007682,P38606
IPI00007691,Q9Y296
IPI00007692,Q9UKP4
IPI00007694,Q9Y570
IPI00007695,Q9Y566
IPI00007696,Q9UKP6
IPI00007700,Q9UBD0
IPI00007702,P54652
IPI00007709,Q9UKQ2
IPI00007712,Q9UNA3
IPI00007713,Q9UKQ9
IPI00007716,P29376
IPI00007724,Q9UKR0
IPI00007726,Q9UKR3
IPI00007729,Q9UMY1
IPI00007730,Q9UKR5
IPI00007731,Q9UL15
IPI00007732,Q9UL17
IPI00007734,Q9UKR8
IPI00007736,Q9UL18
IPI00007739,Q9Y5R4
IPI00007748,P13232
IPI00007750,P68366
IPI00007752,P68371
IPI00007755,Q9UL25
IPI00007756,Q9UL26
IPI00007757,Q9UKS7
IPI00007759,Q9UMX8
IPI00007764,Q9UK76
IPI00007765,P38646
IPI00007769,Q01453
IPI00007775,Q9UKT6
IPI00007776,O94805
IPI00007777,Q9UL36
IPI00007778,Q01459
IPI00007792,P05230
IPI00007793,P05231
IPI00007797,Q01469
IPI00007798,Q9UKU6
IPI00007800,Q9UKU9
IPI00007806,Q9UBI4
IPI00007810,P11801
IPI00007811,P11802
IPI00007812,P21281
IPI00007814,P21283
IPI00007818,Q9UKF6
IPI00007819,Q9UL33
IPI00007820,Q9UK00
IPI00007821,Q9UL58
IPI00007825,Q9UL59
IPI00007826,Q9ULZ0
IPI00007831,P46695
IPI00007834,Q01484
IPI00007836,Q9UL62
IPI00007839,Q9H222
IPI00007840,Q9H221
IPI00007843,Q9UL68
IPI00007847,Q13404
IPI00007853,P13284
IPI00007856,Q9UKX2
IPI00007858,Q9UKX3
IPI00007866,Q9H0T7
IPI00007874,Q9H6I2
IPI00007879,P11831
IPI00007880,P11836
IPI00007909,Q9UI14
IPI00007910,O95436
IPI00007913,Q9UNA1
IPI00007914,Q6EMB2
IPI00007917,Q9Y6Z7
IPI00007919,Q6SZW1
IPI00007921,Q9P2S2
IPI00007926,O43598
IPI00007927,O95347
IPI00007928,Q6P2Q9
IPI00007935,Q96HC4
IPI00007940,O75477
IPI00007941,O94992
IPI00007943,O95630
IPI00007948,Q9BUI4
IPI00007955,O95361
IPI00007956,Q9H3M7
IPI00007957,Q9Y6J9
IPI00007959,Q86YL7
IPI00007960,Q15063
IPI00007961,P03886
IPI00007979,P03891
IPI00007983,Q96JY6
IPI00007993,Q14526
IPI00008011,Q9Y253
IPI00008034,Q9ULC3
IPI00008037,Q9ULC5
IPI00008040,Q9ULC6
IPI00008054,Q9ULD4
IPI00008057,Q9ULD6
IPI00008079,P80162
IPI00008085,Q9ULF5
IPI00008087,Q8N475
IPI00008091,Q9ULG1
IPI00008107,Q9ULH4
IPI00008115,P80192
IPI00008121,Q9ULI2
IPI00008135,Q9ULJ1
IPI00008137,Q9ULJ3
IPI00008144,Q9ULJ8
IPI00008148,P56159
IPI00008157,Q6ZU35
IPI00008160,P48145
IPI00008161,P54707
IPI00008162,P48146
IPI00008164,P48147
IPI00008167,P54709
IPI00008173,Q9ULL1
IPI00008176,Q9ULL8
IPI00008178,P54710
IPI00008179,O00204
IPI00008191,Q9P1V8
IPI00008192,P56178
IPI00008200,Q9ULM3
IPI00008202,Q9UBI9
IPI00008203,Q9UH90
IPI00008205,Q9ULM6
IPI00008207,Q9UKM7
IPI00008208,Q9UII5
IPI00008214,P56181
IPI00008215,P48163
IPI00008219,P54725
IPI00008223,P54727
IPI00008224,P48167
IPI00008225,P48169
IPI00008231,Q9UBS9
IPI00008234,Q6BCY4
IPI00008236,Q7L1T6
IPI00008240,P56192
IPI00008242,Q8WTV1
IPI00008247,Q9UJX4
IPI00008248,Q9UJX3
IPI00008254,P46721
IPI00008255,Q9H6S1
IPI00008269,Q9ULP0
IPI00008274,Q01518
IPI00008278,Q9UBF1
IPI00008281,Q9HA38
IPI00008282,P54750
IPI00008285,Q9UBU6
IPI00008290,P54756
IPI00008294,Q6PH85
IPI00008296,O76036
IPI00008298,Q01523
IPI00008301,Q01524
IPI00008303,Q9UK23
IPI00008304,Q9H8T0
IPI00008305,Q9UM19
IPI00008307,Q9UM07
IPI00008315,P54762
IPI00008318,P54764
IPI00008327,P05305
IPI00008332,Q01538
IPI00008333,Q99990
IPI00008334,Q9ULR5
IPI00008338,P33527
IPI00008348,Q9H6Q4
IPI00008350,Q9H6R6
IPI00008351,P62341
IPI00008359,Q01546
IPI00008367,Q9UKY3
IPI00008372,Q9GZX6
IPI00008377,Q9BY71
IPI00008380,P67775
IPI00008381,Q9H7X3
IPI00008389,P13349
IPI00008398,Q9NR63
IPI00008401,Q9H9P5
IPI00008403,Q9NS84
IPI00008404,P54792
IPI00008405,P54793
IPI00008416,Q9BU20
IPI00008418,Q9NR28
IPI00008422,Q9H4L7
IPI00008433,P46782
IPI00008434,Q9UHQ7
IPI00008436,Q9NR33
IPI00008437,Q9UHA3
IPI00008438,P46783
IPI00008439,Q9UHA2
IPI00008444,Q9BWV3
IPI00008445,Q9BTM9
IPI00008449,Q6UN15
IPI00008454,Q9UBS4
IPI00008455,Q9UM54
IPI00008456,Q9ULV5
IPI00008459,Q9ULV8
IPI00008461,Q9Y2Y1
IPI00008468,Q9UBP9
IPI00008473,P11912
IPI00008475,Q01581
IPI00008477,Q9ULW0
IPI00008481,P13378
IPI00008483,P21397
IPI00008485,P21399
IPI00008486,Q9ULW8
IPI00008490,Q9H1C4
IPI00008493,Q9BZQ2
IPI00008494,P05362
IPI00008495,P03905
IPI00008497,P11926
IPI00008498,Q9H0A6
IPI00008499,P13385
IPI00008504,Q9ULX7
IPI00008511,P03915
IPI00008513,Q9UM82
IPI00008521,Q92681
IPI00008524,P11940
IPI00008527,P05386
IPI00008528,P03928
IPI00008529,P05387
IPI00008530,P05388
IPI00008531,Q9UKL0
IPI00008533,Q9ULZ9
IPI00008536,O95619
IPI00008542,Q9NVF7
IPI00008552,O76003
IPI00008554,P03950
IPI00008556,P03951
IPI00008557,Q9NZI8
IPI00008561,P03956
IPI00008569,O15498
IPI00008570,O75525
IPI00008575,Q07666
IPI00008577,P03971
IPI00008578,Q15762
IPI00008579,O95363
IPI00008580,P03973
IPI00008581,Q99675
IPI00008586,O95196
IPI00008599,Q15125
IPI00008600,Q9Y231
IPI00008601,Q9Y692
IPI00008603,P62736
IPI00008604,P03999
IPI00008613,P80217
IPI00008616,Q9Y666
IPI00008631,Q9NZH5
IPI00008632,Q9UMS5
IPI00008669,A6NCN2
IPI00008673,O00206
IPI00008676,O76000
IPI00008678,O76002
IPI00008692,O76013
IPI00008708,O76021
IPI00008711,O76024
IPI00008714,O76027
IPI00008726,P48200
IPI00008727,P48201
IPI00008728,O76031
IPI00008730,O76038
IPI00008732,Q9H4I3
IPI00008745,O76042
IPI00008750,P80294
IPI00008752,P13640
IPI00008753,P80297
IPI00008770,Q03013
IPI00008771,Q03014
IPI00008779,P48230
IPI00008780,O76061
IPI00008787,P54802
IPI00008791,O76071
IPI00008794,O76075
IPI00008800,P56270
IPI00008802,O76081
IPI00008806,O76083
IPI00008809,O76087;P0CL80
IPI00008816,Q9UBZ9
IPI00008820,Q9UBD6
IPI00008821,Q9UII4
IPI00008822,P54821
IPI00008829,P56282
IPI00008830,O76093
IPI00008832,P54826
IPI00008833,O76095
IPI00008837,P54829
IPI00008839,O76099
IPI00008840,Q03052
IPI00008841,Q9UBR5
IPI00008842,Q9UBR1
IPI00008845,Q9UID6
IPI00008855,Q9GZU0
IPI00008857,Q9BXJ7
IPI00008858,Q9H2U6
IPI00008860,Q9BXJ4
IPI00008864,Q9UHV5
IPI00008867,P54840
IPI00008868,P46821
IPI00008875,P54845
IPI00008880,P54849
IPI00008883,Q9H093
IPI00008887,Q9BXR5
IPI00008889,Q9UHF3
IPI00008894,Q9UI42
IPI00008895,P54851
IPI00008896,Q9UIJ5
IPI00008901,P54852
IPI00008905,P54855
IPI00008909,Q9H2Y9
IPI00008910,Q9HBV2
IPI00008911,Q9NTX7
IPI00008913,Q9BVH7
IPI00008915,Q07627
IPI00008917,Q9UHG0
IPI00008918,Q9UHB6
IPI00008922,Q01629
IPI00008925,Q9UBU3
IPI00008934,P54868
IPI00008935,Q9H6D3
IPI00008943,Q9UMR2
IPI00008944,P05408
IPI00008959,Q9NS61
IPI00008961,Q9NYB0
IPI00008963,Q9H9L3
IPI00008964,Q9H0U4
IPI00008965,P05412
IPI00008980,Q9P127
IPI00008982,P54886
IPI00008986,Q01650
IPI00008991,Q01658
IPI00008993,Q6PIZ9
IPI00008994,Q9UN36
IPI00008997,Q9HC57
IPI00008998,Q9P035
IPI00009005,Q01664
IPI00009008,Q01668
IPI00009009,Q9P013
IPI00009010,Q9UI30
IPI00009019,Q6U949
IPI00009027,P05451
IPI00009028,P05452
IPI00009030,P13473
IPI00009032,P05455
IPI00009033,Q9UN66
IPI00009034,Q9UN67
IPI00009040,Q9UMX2
IPI00009041,Q9UN72
IPI00009042,Q9UN73
IPI00009044,Q9UN74
IPI00009045,Q9UN75
IPI00009054,P13497
IPI00009057,Q9UN86
IPI00009063,O14815
IPI00009070,Q9Y450
IPI00009071,O75494
IPI00009072,Q15916
IPI00009075,P05496
IPI00009080,Q9Y271
IPI00009089,O43559
IPI00009101,Q6ZRS2
IPI00009104,Q9Y230
IPI00009111,Q13641
IPI00009123,P80303
IPI00009126,Q9Y614
IPI00009136,Q13862
IPI00009137,O95639
IPI00009141,A4FU01
IPI00009143,Q9UNA0
IPI00009145,O60476
IPI00009146,O14545
IPI00009148,O95989
IPI00009151,Q6UXE8
IPI00009180,O76100
IPI00009197,P48304
IPI00009198,P48307
IPI00009203,Q9UNH6
IPI00009207,Q9Y4A8
IPI00009210,Q9UNI6
IPI00009211,Q11128
IPI00009213,Q9C0K0
IPI00009217,Q11130
IPI00009225,Q9UNK0
IPI00009235,Q9UNL2
IPI00009236,Q03135
IPI00009240,Q9NPI5
IPI00009243,P48357
IPI00009253,P54920
IPI00009258,P54922
IPI00009267,P21506
IPI00009269,Q9UNN4
IPI00009273,Q9P2A4
IPI00009274,Q9P299
IPI00009276,Q9UNN8
IPI00009286,Q03164
IPI00009290,Q9NPI8
IPI00009291,Q8IV63
IPI00009294,Q9NZV1
IPI00009295,Q9GZR5
IPI00009298,P48380
IPI00009301,Q9H9Q2
IPI00009302,Q9NYT0
IPI00009303,P48382
IPI00009305,P46926
IPI00009308,P13500
IPI00009309,P13501
IPI00009312,Q01718
IPI00009315,Q9H3P7
IPI00009316,Q9UNP9
IPI00009319,Q9NZQ3
IPI00009320,Q5J8M3
IPI00009326,P46937
IPI00009328,P38919
IPI00009329,P46939
IPI00009330,Q03181
IPI00009333,Q9P0T7
IPI00009335,Q9BTY7
IPI00009342,P46940
IPI00009346,Q9P0S9
IPI00009350,Q9NPI0
IPI00009355,Q9H0J9
IPI00009362,P13521
